age,gender,platform,privacyNum,frequency,ifPrivacy,nationality
38,0,,8,2,1,1.0
68,1,,4,1,1,1.0
33,1,,9,3,1,0.0
30,0,,6,2,1,0.0
28,0,,1,1,1,1.0
30,1,,1,2,0,1.0
22,1,,6,2,0,0.0
37,0,,0,1,0,0.0
26,1,,3,1,0,1.0
30,0,,2,2,0,1.0
36,1,,5,2,1,0.0
21,1,,5,2,1,0.0
38,1,,8,2,1,1.0
21,0,,0,2,0,1.0
43,0,,6,1,1,0.0
45,0,,9,1,1,0.0
33,2,,1,4,0,1.0
21,0,,6,1,1,1.0
58,1,,7,2,1,0.0
27,0,,3,1,0,0.0
32,1,,6,0,0,1.0
29,0,,1,3,0,1.0
71,0,,4,1,1,0.0
24,1,,5,1,1,0.0
34,1,,2,1,0,1.0
43,1,,8,2,1,1.0
32,1,,2,0,0,0.0
53,1,,7,2,1,0.0
40,1,,2,2,0,1.0
35,0,,0,3,0,1.0
62,0,,3,1,0,0.0
40,0,,4,1,0,0.0
40,1,,5,4,0,1.0
36,0,,8,1,1,1.0
22,0,,7,0,1,1.0
46,0,,8,0,0,0.0
37,0,,5,1,0,0.0
29,2,,7,1,0,1.0
29,1,,2,1,0,1.0
27,1,,10,1,1,0.0
23,1,,8,2,1,0.0
42,1,,7,2,0,1.0
59,1,,6,3,0,1.0
47,1,,8,1,1,0.0
39,0,,8,2,1,0.0
56,1,,1,1,0,1.0
39,0,,2,0,0,1.0
59,0,,5,1,1,0.0
40,0,,4,3,1,0.0
28,0,,7,0,1,1.0
20,0,,1,0,0,1.0
23,0,,7,2,1,0.0
42,0,,4,1,1,0.0
57,0,,0,0,0,1.0
27,0,,5,0,0,1.0
28,0,,9,3,1,0.0
39,1,,6,3,1,0.0
40,0,,8,1,1,1.0
21,1,,4,2,0,1.0
40,0,,7,1,1,0.0
25,0,,2,1,1,0.0
30,0,,8,2,1,1.0
28,0,,7,2,1,1.0
34,1,,3,1,0,0.0
54,0,,6,2,0,0.0
26,0,,4,1,0,1.0
29,0,,4,1,0,1.0
50,0,,9,0,1,0.0
56,0,,4,2,0,0.0
27,1,,0,2,0,1.0
72,0,,0,2,0,1.0
38,1,,7,1,0,0.0
33,1,,8,1,0,0.0
36,1,,6,1,1,1.0
31,1,,9,3,1,1.0
30,0,,6,1,1,1.0
27,1,,5,3,0,0.0
36,0,,6,2,1,0.0
30,0,,5,1,0,1.0
30,0,,6,2,0,1.0
47,1,,8,1,0,0.0
39,0,,8,2,0,0.0
39,0,,2,0,0,1.0
56,1,,1,1,0,1.0
38,0,,8,2,0,0.0
35,1,,5,1,0,0.0
32,1,,1,3,0,1.0
57,1,,1,0,0,1.0
35,2,,4,1,0,1.0
25,0,,10,1,1,0.0
